sites,lat,lon,height,type,location,assumed timezone
Babbage_100,53.963,1.219,108,L,offshore,UTC
Beatrice_100,58.1082,-3.06928,105.5,L,offshore,UTC
Boerglum_100,57.34,9.81,31.5,M,coastal,UTC+1
Cabauw_100,51.97,4.93,140,M,land,UTC
EgmondaanZee_100,52.6064,4.38964,116,M,offshore,UTC
FINO1_100,54.0149,6.5876,90.3,M,offshore,UTC
FINO2_100,55.0069,13.1542,92.4,M,offshore,UTC
FINO3_100,55.195,7.1193,90.55,M,offshore,UTC
GreaterGabbard_100,51.8727,1.91537,72.5,M,offshore,UTC
HornsRev2_100,55.519,7.788,106,L,offshore,UTC+1
HornsRevM7_100,55.4872666666667,7.97533333333333,70,M,offshore,UTC+1
Hovsore_100,56.4405,8.1508,100,M,coastal,UTC
Ijmuiden_100,52.8482,3.4357,115,M+L,offshore,UTC
Karehamn_100,57.0094722222222,17.0063611111111,50,,coastal,UTC
Lillgrund_100,55.4997833333333,12.7654,65,M,coastal,UTC
Oesterild_100,57.079,8.869,106,M,land,UTC+1
OesterildS_100,57.0511,8.87541388888889,44,,land,UTC
Omoe_100,55.05,11.13,50.6,M,coastal,UTC
Risoe_100,55.6942,12.0885,125.2,M,land,UTC+1
Ryningsnaas_100,57.2762222222222,15.9865805555556,138,M,forest,UTC
Schooner_100,54.05,2.08333,102,L,offshore,UTC
Siri_100,56.4823,4.91051,105,L,offshore,UTC
Soroe_100,55.4858333333333,11.6446472222222,22.5,M,forest,UTC
Taqa_100,52.3056444444444,3.68519444444444,110,L,offshore,UTC
Tystofte_100,55.24,11.33,39,M,land,UTC
Utsira_100,59.3029,4.88659,100,L,offshore,UTC+1
Lindenberg_100,52.17,14.12,98,M,land,UTC
Hyytiala_100,61.85,24.29,67,M,forest,UTC
Puijo_100,62.91,27.65,75,M,land,UTC
DockingShoal_100,53.16,0.65,90,M,coastal,UTC
GwyntYMor_100,53.48,-3.51,69,M,offshore,UTC
LondonArray_100,51.59,1.39,82,M,offshore,UTC
